trip_id,origin,destination,tsp,train_type,departure,arrival,duration,service_id,Adulto ida,Básico,Elige,Elige Confort,Prémium
00533,04040,71801,Renfe,ALVIA,2025-11-07 11:09:00,2025-11-07 13:09:00,0 days 02:00:00,00533_07-11-2025-11.09,,77.1,83.0,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-07 12:00:00,2025-11-07 13:09:00,0 days 01:09:00,00533_07-11-2025-11.09,,60.5,64.8,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-07 12:33:00,2025-11-07 13:09:00,0 days 00:36:00,00533_07-11-2025-11.09,,23.1,26.4,30.7,
00533,04040,71801,Renfe,ALVIA,2025-11-08 11:09:00,2025-11-08 13:09:00,0 days 02:00:00,00533_08-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-08 12:00:00,2025-11-08 13:09:00,0 days 01:09:00,00533_08-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-08 12:33:00,2025-11-08 13:09:00,0 days 00:36:00,00533_08-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-09 11:09:00,2025-11-09 13:09:00,0 days 02:00:00,00533_09-11-2025-11.09,,71.15,77.1,86.75,
00533,78400,71801,Renfe,ALVIA,2025-11-09 12:00:00,2025-11-09 13:09:00,0 days 01:09:00,00533_09-11-2025-11.09,,56.15,60.5,68.95,
00533,04104,71801,Renfe,ALVIA,2025-11-09 12:33:00,2025-11-09 13:09:00,0 days 00:36:00,00533_09-11-2025-11.09,,42.9,46.2,52.65,
00533,04040,71801,Renfe,ALVIA,2025-11-10 11:09:00,2025-11-10 13:09:00,0 days 02:00:00,00533_10-11-2025-11.09,,35.6,41.5,47.3,
00533,78400,71801,Renfe,ALVIA,2025-11-10 12:00:00,2025-11-10 13:09:00,0 days 01:09:00,00533_10-11-2025-11.09,,30.25,34.55,40.2,
00533,04104,71801,Renfe,ALVIA,2025-11-10 12:33:00,2025-11-10 13:09:00,0 days 00:36:00,00533_10-11-2025-11.09,,23.1,26.4,30.7,
00533,04040,71801,Renfe,ALVIA,2025-11-11 11:09:00,2025-11-11 13:09:00,0 days 02:00:00,00533_11-11-2025-11.09,,53.35,59.3,63.1,
00533,78400,71801,Renfe,ALVIA,2025-11-11 12:00:00,2025-11-11 13:09:00,0 days 01:09:00,00533_11-11-2025-11.09,,43.2,47.5,51.7,
00533,04104,71801,Renfe,ALVIA,2025-11-11 12:33:00,2025-11-11 13:09:00,0 days 00:36:00,00533_11-11-2025-11.09,,33.0,36.3,39.5,
00533,04040,71801,Renfe,ALVIA,2025-11-12 11:09:00,2025-11-12 13:09:00,0 days 02:00:00,00533_12-11-2025-11.09,,53.35,59.3,63.1,
00533,78400,71801,Renfe,ALVIA,2025-11-12 12:00:00,2025-11-12 13:09:00,0 days 01:09:00,00533_12-11-2025-11.09,,43.2,47.5,51.7,
00533,04104,71801,Renfe,ALVIA,2025-11-12 12:33:00,2025-11-12 13:09:00,0 days 00:36:00,00533_12-11-2025-11.09,,33.0,36.3,39.5,
00533,04040,71801,Renfe,ALVIA,2025-11-13 11:09:00,2025-11-13 13:09:00,0 days 02:00:00,00533_13-11-2025-11.09,,65.25,71.15,78.85,
00533,78400,71801,Renfe,ALVIA,2025-11-13 12:00:00,2025-11-13 13:09:00,0 days 01:09:00,00533_13-11-2025-11.09,,51.85,56.15,63.2,
