trip_id,origin,destination,train_type,departure,arrival,duration,service_id,Basico,Elige,Premium
06309,04040,71500,AVLO,2023-06-01 20:56:00,2023-06-01 22:08:00,0 days 01:12:00,06309_01-06-2023-20.56,35.00,,
03991,04040,71500,AVE,2023-06-01 21:11:00,2023-06-01 22:20:00,0 days 01:09:00,03991_01-06-2023-21.11,33.90,38.15,64.10
03931,04040,71500,AVE,2023-06-01 21:11:00,2023-06-01 22:20:00,0 days 01:09:00,03931_01-06-2023-21.11,25.45,29.70,52.85
03203,04040,71500,AVE,2023-06-01 22:06:00,2023-06-01 23:18:00,0 days 01:12:00,03203_01-06-2023-22.06,18.15,24.20,67.30
03063,04040,71801,AVE,2023-06-01 07:52:00,2023-06-01 09:20:00,0 days 01:28:00,03063_01-06-2023-07.52,37.80,45.25,64.25
03073,04040,71801,AVE,2023-06-01 08:52:00,2023-06-01 10:42:00,0 days 01:50:00,03073_01-06-2023-08.52,37.80,45.35,79.35
03083,04040,71801,AVE,2023-06-01 09:46:00,2023-06-01 11:15:00,0 days 01:29:00,03083_01-06-2023-09.46,37.80,45.25,64.25
03093,04040,71801,AVE,2023-06-01 10:46:00,2023-06-01 12:37:00,0 days 01:51:00,03093_01-06-2023-10.46,45.35,52.90,109.50
06303,04040,71801,AVLO,2023-06-01 11:45:00,2023-06-01 13:15:00,0 days 01:30:00,06303_01-06-2023-11.45,25.00,,
03113,04040,71801,AVE,2023-06-01 12:52:00,2023-06-01 14:42:00,0 days 01:50:00,03113_01-06-2023-12.52,45.35,52.90,89.40
03943,04040,71801,AVE,2023-06-01 12:57:00,2023-06-01 14:45:00,0 days 01:48:00,03943_01-06-2023-12.57,,,
03123,04040,71801,AVE,2023-06-01 13:46:00,2023-06-01 15:40:00,0 days 01:54:00,03123_01-06-2023-13.46,45.35,50.25,69.25
19725,04040,71801,AVE,2023-06-01 14:50:00,2023-06-01 16:22:00,0 days 01:32:00,19725_01-06-2023-14.50,45.35,52.90,
03143,04040,71801,AVE,2023-06-01 15:52:00,2023-06-01 17:20:00,0 days 01:28:00,03143_01-06-2023-15.52,37.80,45.35,139.65
03153,04040,71801,AVE,2023-06-01 16:52:00,2023-06-01 18:42:00,0 days 01:50:00,03153_01-06-2023-16.52,37.80,45.25,64.25
03163,04040,71801,AVE,2023-06-01 17:46:00,2023-06-01 19:15:00,0 days 01:29:00,03163_01-06-2023-17.46,52.90,60.50,119.55
03173,04040,71801,AVE,2023-06-01 18:52:00,2023-06-01 20:42:00,0 days 01:50:00,03173_01-06-2023-18.52,60.50,68.05,99.45
03183,04040,71801,AVE,2023-06-01 19:46:00,2023-06-01 21:20:00,0 days 01:34:00,03183_01-06-2023-19.46,52.90,60.50,89.40
03941,04040,71801,AVE,2023-06-01 20:00:00,2023-06-01 21:50:00,0 days 01:50:00,03941_01-06-2023-20.00,,,
06309,04040,71801,AVLO,2023-06-01 20:56:00,2023-06-01 22:46:00,0 days 01:50:00,06309_01-06-2023-20.56,15.00,,
03931,04040,71801,AVE,2023-06-01 21:11:00,2023-06-01 23:00:00,0 days 01:49:00,03931_01-06-2023-21.11,31.75,38.10,61.25
03991,04040,71801,AVE,2023-06-01 21:11:00,2023-06-01 23:00:00,0 days 01:49:00,03991_01-06-2023-21.11,44.45,50.80,78.10
03203,04040,71801,AVE,2023-06-01 22:06:00,2023-06-01 23:55:00,0 days 01:49:00,03203_01-06-2023-22.06,18.90,26.45,69.25
03093,04040,79300,AVE,2023-06-01 10:46:00,2023-06-01 13:23:00,0 days 02:37:00,03093_01-06-2023-10.46,,117.85,136.85
03123,04040,79300,AVE,2023-06-01 13:46:00,2023-06-01 16:28:00,0 days 02:42:00,03123_01-06-2023-13.46,53.15,58.90,77.90
19725,04040,79300,AVE,2023-06-01 14:50:00,2023-06-01 17:12:00,0 days 02:22:00,19725_01-06-2023-14.50,62.00,70.90,
03143,04040,79300,AVE,2023-06-01 15:52:00,2023-06-01 18:08:00,0 days 02:16:00,03143_01-06-2023-15.52,,141.40,160.40
03163,04040,79300,AVE,2023-06-01 17:46:00,2023-06-01 20:11:00,0 days 02:25:00,03163_01-06-2023-17.46,,117.85,136.85
