ADIF_ID;RENFE_ID;STATION_NAME;LATITUD;LONGITUD;DIRECION;CP;POBLACION;PROVINCIA;PAIS;CERCANIAS;FEVE;COMUN
61003;61003;NAVAJUELOS (APT);38.718167;-1.683036;;;TOBARRA;ALBACETE;ESPAÑA;NO;NO;
61004;61004;TOBARRA (APT-CGD);38.597026;-1.701276;;;TOBARRA;ALBACETE;ESPAÑA;NO;NO;
61005;61005;HELLÍN;38.508776;-1.688437;Paseo Yutera del Carmen, S/N;02400;HELLÍN;ALBACETE;ESPAÑA;NO;NO;
61006;61006;MINATEDA (APT);;;;;HELLÍN;ALBACETE;ESPAÑA;NO;NO;
61007;61007;AGRAMON (APT);38.402767;-1.630237;;;HELLÍN;ALBACETE;ESPAÑA;NO;NO;
61008;61008;MINAS  (APT);;;;;HELLÍN;ALBACETE;ESPAÑA;NO;NO;
61009;61009;CALASPARRA;38.26926;-1.680109;Calle Estacion Ferrocarril, 8;30420;CALASPARRA;MURCIA;ESPAÑA;NO;NO;
61011;61011;LA MACETUA (APD);;;;;CIEZA;MURCIA;ESPAÑA;NO;NO;
61012;61012;CIEZA;38.246609;-1.421702;Calle Estacion Ferrocarril, 34;30530;CIEZA;MURCIA;ESPAÑA;NO;NO;
61013;61013;BLANCA-ABARAN;38.228968;-1.337311;;;ABARÁN;MURCIA;ESPAÑA;NO;NO;
61015;61015;ARCHENA-FORTUNA;38.13132;-1.236037;Calle Estacion Ferrocarril, S/N;30627;MOLINA DE SEGURA;MURCIA;ESPAÑA;NO;NO;
61016;61016;LORQUI-CEUTI (APD);;;;;LORQUÍ;MURCIA;ESPAÑA;NO;NO;
61017;61017;ALGUAZAS-MOLINA;38.05562;-1.246423;;;ALGUAZAS;MURCIA;ESPAÑA;NO;NO;
61018;61018;LAS TORRES DE COTILLAS (APD);38.028487;-1.236004;;;TORRES DE COTILLAS (LAS);MURCIA;ESPAÑA;NO;NO;
61019;61019;SANTA BARBARA DEL SEGURA (CGD);;;;;MOLINA DE SEGURA;MURCIA;ESPAÑA;NO;NO;
61100;61100;ALCANTARILLA;37.97216;-1.215743;;;ALCANTARILLA;MURCIA;ESPAÑA;SI;NO;
61200;61200;MURCIA;37.97465;-1.1299555;Plaza de la Industria, S/N;30002;MURCIA;MURCIA;ESPAÑA;SI;NO;
61202;61202;BENIAJAN;37.970765;-1.079938;;;MURCIA;MURCIA;ESPAÑA;SI;NO;
61203;61203;TORREAGUERA (APD);37.984065;-1.051838;;;MURCIA;MURCIA;ESPAÑA;SI;NO;
61300;61300;ALQUERIAS-SANTOMERA;37.99964;-1.026305;;;MURCIA;MURCIA;ESPAÑA;SI;NO;
61301;61301;CANTERAS (APT);37.967841;-0.953564;;;MURCIA;MURCIA;ESPAÑA;NO;NO;
61302;61302;RIQUELME-SUCINA;37.895665;-0.974839;;;MURCIA;MURCIA;ESPAÑA;NO;NO;
61303;61303;BALSICAS-MAR MENOR;37.81884;-0.950891;Calle Mar Menor, S/N;30591;TORRE-PACHECO;MURCIA;ESPAÑA;SI;NO;
61304;61304;TORRE-PACHECO;37.746905;-0.967078;Avenida Estacion Ferrocarril, S/N;30700;TORRE-PACHECO;MURCIA;ESPAÑA;SI;NO;
61305;61305;LA PALMA-POZO ESTRECHO (APT);37.701465;-0.979639;;;CARTAGENA;MURCIA;ESPAÑA;NO;NO;
61306;61306;BARRIO DEL PERAL (APD);;;;;CARTAGENA;MURCIA;ESPAÑA;NO;NO;
61307;61307;CARTAGENA;37.604967;-0.975122;Plaza de Mejico, 2;30203;CARTAGENA;MURCIA;ESPAÑA;NO;NO;
62001;62001;BENIEL;38.0447361;-0.9994472;Camino de la Estacion, 15;30130;BENIEL;MURCIA;ESPAÑA;SI;NO;
62002;62002;ORIHUELA-MIGUEL HERNÁNDEZ;38.0779194;-0.94445;Avenida Teodomiro, 68;03300;ORIHUELA;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62003;62003;CALLOSA DE SEGURA;38.1235694;-0.8732888;Paseo Estacion Ferrocarril, S/N;03360;CALLOSA DE SEGURA;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62100;62100;ALBATERA-CATRAL;38.1670972;-0.8383583;Camino de la Estacion, 16;03349;SAN ISIDRO;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62101;62101;CREVILLENT;38.2245805;-0.7817972;Barrio Estacion Ferrocarril, S/N;03330;CREVILLENT;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62102;62102;ELCHE/ELX CARRÚS;38.2690055;-0.7063555;Avenida de la Libertad, S/N;03201;ELCHE/ELX;ALICANTE/ALACANT;ESPAÑA;SI;NO;
62103;62103;ELCHE PARQUE/ELX PARC;38.2717784;-0.6952109;Avenida del Ferrocarril, 10;03202;ELCHE/ELX;ALICANTE/ALACANT;ESPAÑA;SI;NO;
