service_id,trip_id,train_type,departure,arrival,duration
03161_13-02-2023-16.00,03161,AVE,2023-02-13 16:00:00,2023-02-13 18:30:00,2:30
03163_13-02-2023-16.30,03163,AVE,2023-02-13 16:30:00,2023-02-13 19:15:00,2:45
03171_13-02-2023-17.00,03171,AVE,2023-02-13 17:00:00,2023-02-13 19:30:00,2:30
03173_13-02-2023-17.30,03173,AVE,2023-02-13 17:30:00,2023-02-13 20:42:00,3:12
03183_13-02-2023-18.30,03183,AVE,2023-02-13 18:30:00,2023-02-13 21:20:00,2:50
03191_13-02-2023-19.00,03191,AVE,2023-02-13 19:00:00,2023-02-13 21:30:00,2:30
03201_13-02-2023-20.00,03201,AVE,2023-02-13 20:00:00,2023-02-13 22:30:00,2:30
03203_13-02-2023-20.40,03203,AVE,2023-02-13 20:40:00,2023-02-13 23:55:00,3:15
03211_13-02-2023-21.10,03211,AVE,2023-02-13 21:10:00,2023-02-13 23:40:00,2:30
03063_14-02-2023-06.30,03063,AVE,2023-02-14 06:30:00,2023-02-14 09:20:00,2:50
03071_14-02-2023-07.00,03071,AVE,2023-02-14 07:00:00,2023-02-14 09:30:00,2:30
03073_14-02-2023-07.30,03073,AVE,2023-02-14 07:30:00,2023-02-14 10:42:00,3:12
03081_14-02-2023-08.00,03081,AVE,2023-02-14 08:00:00,2023-02-14 10:30:00,2:30
03083_14-02-2023-08.30,03083,AVE,2023-02-14 08:30:00,2023-02-14 11:15:00,2:45
03091_14-02-2023-09.00,03091,AVE,2023-02-14 09:00:00,2023-02-14 11:30:00,2:30
03093_14-02-2023-09.30,03093,AVE,2023-02-14 09:30:00,2023-02-14 12:37:00,3:7
03113_14-02-2023-11.30,03113,AVE,2023-02-14 11:30:00,2023-02-14 14:42:00,3:12
03123_14-02-2023-12.30,03123,AVE,2023-02-14 12:30:00,2023-02-14 15:40:00,3:10
03131_14-02-2023-13.00,03131,AVE,2023-02-14 13:00:00,2023-02-14 15:30:00,2:30
19725_14-02-2023-13.25,19725,AVE,2023-02-14 13:25:00,2023-02-14 16:22:00,2:57
03143_14-02-2023-14.30,03143,AVE,2023-02-14 14:30:00,2023-02-14 17:20:00,2:50
03151_14-02-2023-15.00,03151,AVE,2023-02-14 15:00:00,2023-02-14 17:29:00,2:29
03153_14-02-2023-15.30,03153,AVE,2023-02-14 15:30:00,2023-02-14 18:42:00,3:12
03161_14-02-2023-16.00,03161,AVE,2023-02-14 16:00:00,2023-02-14 18:30:00,2:30
03163_14-02-2023-16.30,03163,AVE,2023-02-14 16:30:00,2023-02-14 19:15:00,2:45
