service_id,0,1,2
03113_19-02-2023-11.30,,136.10,155.10
03123_19-02-2023-12.30,102.35,113.70,140.00
03131_19-02-2023-13.00,93.95,107.35,143.95
19725_19-02-2023-13.25,90.95,102.35,140.00
03143_19-02-2023-14.30,102.35,113.70,155.10
03153_19-02-2023-15.30,113.70,125.05,155.10
03161_19-02-2023-16.00,107.35,120.80,161.80
03163_19-02-2023-16.30,102.35,113.70,140.00
03171_19-02-2023-17.00,107.35,120.80,161.80
03173_19-02-2023-17.30,102.35,113.70,140.00
06307_19-02-2023-18.00,89.00,,
03183_19-02-2023-18.30,102.35,113.70,140.00
03191_19-02-2023-19.00,107.35,120.80,179.65
06309_19-02-2023-19.30,89.00,,
03201_19-02-2023-20.00,93.95,107.35,143.95
03203_19-02-2023-20.40,102.35,113.70,140.00
03211_19-02-2023-21.10,136.45,147.80,185.35
06301_20-02-2023-06.15,35.00,,
03063_20-02-2023-06.30,22.75,39.80,140.00
03071_20-02-2023-07.00,93.95,107.35,143.95
17050_20-02-2023-07.15,43.25,,
03073_20-02-2023-07.30,79.60,90.95,124.85
03081_20-02-2023-08.00,107.35,120.80,161.80
03083_20-02-2023-08.30,79.60,90.95,124.85
03091_20-02-2023-09.00,33.55,46.95,161.80
03093_20-02-2023-09.30,90.95,102.35,140.00
06303_20-02-2023-10.30,39.00,,
03113_20-02-2023-11.30,39.80,51.15,140.00
03123_20-02-2023-12.30,79.60,90.95,124.85
03131_20-02-2023-13.00,67.10,80.30,99.30
19725_20-02-2023-13.25,68.20,79.60,109.75
03143_20-02-2023-14.30,39.80,51.15,185.35
03151_20-02-2023-15.00,33.55,46.95,161.80
03153_20-02-2023-15.30,79.60,90.95,124.85
03161_20-02-2023-16.00,80.50,93.95,126.10
03163_20-02-2023-16.30,79.60,90.95,140.00
03171_20-02-2023-17.00,40.25,53.70,161.80
03173_20-02-2023-17.30,90.95,102.35,140.00
06307_20-02-2023-18.00,49.00,,
03183_20-02-2023-18.30,102.35,113.70,140.00
03191_20-02-2023-19.00,93.95,107.35,161.80
06309_20-02-2023-19.30,,,
03201_20-02-2023-20.00,67.10,80.30,99.30
03203_20-02-2023-20.40,28.45,39.80,140.00
03211_20-02-2023-21.10,28.45,39.80,140.00
06301_21-02-2023-06.15,9.00,,
03063_21-02-2023-06.30,39.80,51.15,71.95
03071_21-02-2023-07.00,80.50,93.95,126.10
17050_21-02-2023-07.15,43.25,,
03073_21-02-2023-07.30,17.05,39.80,124.85
03081_21-02-2023-08.00,107.35,120.80,143.95
03083_21-02-2023-08.30,90.95,102.35,140.00
03091_21-02-2023-09.00,20.15,46.95,143.95
03093_21-02-2023-09.30,68.20,79.60,109.75
06303_21-02-2023-10.30,25.00,,
