service_id,stop_id,arrival,departure
03203_02-02-2026-20.27,04040,90,91
03203_02-02-2026-20.27,78400,133,135
03203_02-02-2026-20.27,04104,160,162
03203_02-02-2026-20.27,71801,201,201
03991_02-02-2026-20.38,54413,0,0
03941_02-02-2026-20.38,51003,0,0
03991_02-02-2026-20.38,02003,20,22
03991_02-02-2026-20.38,02002,35,37
03941_02-02-2026-20.38,50500,42,52
03991_02-02-2026-20.38,50500,68,74
03941_02-02-2026-20.38,37300,103,105
03941_02-02-2026-20.38,37200,118,120
03991_02-02-2026-20.38,37300,125,127
03991_02-02-2026-20.38,37200,140,142
03941_02-02-2026-20.38,04040,259,261
03991_02-02-2026-20.38,04040,281,283
03941_02-02-2026-20.38,78400,303,305
03991_02-02-2026-20.38,78400,325,327
03941_02-02-2026-20.38,04104,334,336
03991_02-02-2026-20.38,04104,356,358
03941_02-02-2026-20.38,71801,378,378
03991_02-02-2026-20.38,71801,400,400
0003O_02-02-2026-21.02,60000,0,0
0003O_02-02-2026-21.02,04040,79,82
0003O_02-02-2026-21.02,71801,172,172
0004I_03-02-2026-06.09,60000,0,0
0004I_03-02-2026-06.09,04040,79,80
0004I_03-02-2026-06.09,71801,171,171
03301_03-02-2026-06.16,60000,0,0
03301_03-02-2026-06.16,04104,125,127
03301_03-02-2026-06.16,71801,169,169
03063_03-02-2026-06.27,60000,0,0
03063_03-02-2026-06.27,70600,59,60
03063_03-02-2026-06.27,04040,85,86
03063_03-02-2026-06.27,71801,178,178
03071_03-02-2026-06.57,60000,0,0
03071_03-02-2026-06.57,71801,157,157
0004O_03-02-2026-07.02,60000,0,0
0004O_03-02-2026-07.02,04040,78,81
0004O_03-02-2026-07.02,71801,172,172
0003I_03-02-2026-07.22,60000,0,0
0003I_03-02-2026-07.22,71801,157,157
03073_03-02-2026-07.27,60000,0,0
03073_03-02-2026-07.27,04007,25,26
03073_03-02-2026-07.27,04040,84,85
03073_03-02-2026-07.27,78400,128,130
03073_03-02-2026-07.27,04104,157,159
03073_03-02-2026-07.27,71801,199,215
03073_03-02-2026-07.27,79206,255,257
03073_03-02-2026-07.27,04307,272,272
03081_03-02-2026-07.57,60000,0,0
03081_03-02-2026-07.57,71801,157,157
0003I_03-02-2026-08.22,60000,0,0
0003I_03-02-2026-08.22,71801,157,157
03083_03-02-2026-08.27,60000,0,0
03083_03-02-2026-08.27,04040,78,79
03083_03-02-2026-08.27,71801,172,172
0003I_03-02-2026-08.50,60000,0,0
0003I_03-02-2026-08.50,71801,157,157
03091_03-02-2026-08.57,60000,0,0
03091_03-02-2026-08.57,04104,124,126
03091_03-02-2026-08.57,71801,164,164
0002I_03-02-2026-09.22,60000,0,0
0002I_03-02-2026-09.22,04040,78,79
0002I_03-02-2026-09.22,71801,172,172
02561_03-02-2026-09.27,51003,0,0
02561_03-02-2026-09.27,50500,46,48
02561_03-02-2026-09.27,37300,94,96
02561_03-02-2026-09.27,37200,108,110
02561_03-02-2026-09.27,60000,176,207
02561_03-02-2026-09.27,04040,286,287
02561_03-02-2026-09.27,78400,332,334
02561_03-02-2026-09.27,04104,360,362
02561_03-02-2026-09.27,71801,401,409
02561_03-02-2026-09.27,79206,450,452
02561_03-02-2026-09.27,04307,467,467
0001I_03-02-2026-09.57,60000,0,0
0001I_03-02-2026-09.57,04040,80,81
0001I_03-02-2026-09.57,71801,172,172
0005O_03-02-2026-10.02,60000,0,0
0005O_03-02-2026-10.02,04040,80,83
